일,bbq,비비큐,교촌
2022-10-27,45,8,7
2022-10-28,50,13,68
2022-10-29,53,0,35
2022-10-30,49,17,44
2022-10-31,32,8,11
2022-11-01,38,0,15
2022-11-02,32,0,34
2022-11-03,38,0,39
2022-11-04,54,24,36
2022-11-05,80,14,49
2022-11-06,51,13,56
2022-11-07,58,0,36
2022-11-08,45,14,33
2022-11-09,56,0,43
2022-11-10,36,10,53
2022-11-11,100,0,51
2022-11-12,87,0,25
2022-11-13,78,22,45
2022-11-14,15,0,49
2022-11-15,49,0,51
2022-11-16,40,0,19
2022-11-17,62,0,37
2022-11-18,48,9,51
2022-11-19,64,28,75
2022-11-20,74,0,57
2022-11-21,33,0,0
2022-11-22,55,0,37
2022-11-23,51,16,54
